,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,acc
1230,-0.01,-0.09,1.04,-4.82,17.16,3.29,1.0439348638684312
1231,-0.0,-0.09,1.06,-2.32,18.17,1.07,1.0638138934982944
1232,-0.01,-0.06,1.05,-2.13,22.1,-0.24,1.0517604289951206
1233,-0.02,-0.04,1.03,-4.45,21.4,-1.28,1.030970416646375
1234,-0.03,-0.04,1.04,-5.49,20.24,-2.23,1.0412012293500235
1235,-0.05,-0.02,1.06,-5.85,23.02,-2.23,1.0613670430157516
1236,-0.05,-0.02,1.07,-7.44,23.6,-2.44,1.071354283138869
1237,-0.04,-0.04,1.09,-6.49,20.95,-3.99,1.0914669028422255
1238,-0.04,-0.02,1.08,-5.3,25.0,-4.6,1.0809255293497328
1239,-0.04,0.0,1.08,-6.19,25.49,-4.94,1.0807404868885038
1240,-0.06,0.01,1.1,-6.89,25.61,-4.6,1.101680534456337
1241,-0.05,0.01,1.12,-5.73,27.23,-3.66,1.121160113453917
1242,-0.09,0.01,1.13,-4.54,28.57,-2.16,1.1336225121265013
1243,-0.1,0.01,1.14,-3.45,27.62,-0.95,1.1444212511134175
1244,-0.1,0.01,1.15,-1.4,26.43,0.3,1.1543829520570719
1245,-0.12,0.01,1.16,-0.52,26.04,1.92,1.1662332528272377
1246,-0.13,0.0,1.18,1.52,24.54,3.23,1.1871394189394942
1247,-0.13,0.0,1.18,4.24,23.6,5.03,1.1871394189394942
1248,-0.14,-0.01,1.18,6.83,22.23,6.4,1.1883181392203015
1249,-0.12,-0.03,1.18,8.78,19.57,7.5,1.1864653387267576
1250,-0.11,-0.03,1.2,11.04,16.52,8.23,1.2054044964243331
1251,-0.12,-0.03,1.2,13.84,13.66,7.74,1.206358155772986
1252,-0.11,-0.02,1.19,15.61,10.91,6.34,1.195240561560726
1253,-0.1,-0.02,1.18,16.01,6.59,4.91,1.1843985815594342
1254,-0.11,-0.02,1.19,15.98,2.87,3.35,1.195240561560726
1255,-0.1,-0.01,1.18,15.91,-0.18,1.92,1.184271928232701
1256,-0.11,0.0,1.18,14.82,-2.84,0.98,1.1851160280748885
1257,-0.09,0.02,1.16,12.9,-5.67,-0.4,1.1636580253665592
1258,-0.11,0.03,1.14,11.01,-7.93,-1.62,1.1456875664857324
1259,-0.1,0.04,1.14,9.12,-9.57,-2.53,1.1450764166639709
1260,-0.1,0.04,1.13,7.32,-9.91,-3.2,1.1351211389098521
1261,-0.1,0.03,1.12,5.0,-10.73,-3.32,1.124855546281388
1262,-0.1,0.03,1.11,3.63,-10.55,-3.11,1.1148990985734988
1263,-0.09,0.02,1.1,2.2,-9.79,-2.96,1.103856874780422
1264,-0.09,0.01,1.1,1.04,-9.27,-2.16,1.1037209792334293
1265,-0.09,0.0,1.1,0.21,-8.9,-1.22,1.103675676999362
1266,-0.09,0.01,1.1,0.46,-8.81,-0.49,1.1037209792334293
1267,-0.09,0.01,1.09,0.88,-8.63,0.43,1.0937549999885716
1268,-0.09,-0.0,1.09,1.95,-8.17,1.46,1.0937092849564733
1269,-0.09,-0.01,1.09,2.96,-8.08,1.83,1.0937549999885716
1270,-0.09,-0.01,1.09,4.12,-8.63,2.01,1.0937549999885716
1271,-0.09,-0.02,1.08,5.03,-9.45,2.38,1.0839280418920807
1272,-0.08,-0.01,1.08,6.07,-9.02,2.59,1.0830050784737808
1273,-0.08,-0.01,1.08,6.74,-8.32,3.17,1.0830050784737808
1274,-0.07,0.0,1.07,7.41,-8.32,3.66,1.0722872749408154
1275,-0.08,-0.0,1.06,7.23,-7.74,3.93,1.063014581273465
1276,-0.07,0.0,1.06,7.38,-6.8,4.33,1.0623088063270492
1277,-0.08,-0.01,1.05,7.04,-6.65,4.51,1.0530906893520615
1278,-0.07,-0.01,1.06,6.95,-6.01,4.54,1.0623558725775464
1279,-0.06,-0.02,1.06,6.74,-4.63,3.87,1.061885116196663
1280,-0.05,-0.01,1.05,6.13,-3.96,3.2,1.0512373661547614
1281,-0.06,-0.02,1.06,5.37,-3.17,2.5,1.061885116196663
1282,-0.06,-0.02,1.06,4.54,-2.71,1.59,1.061885116196663
1283,-0.07,-0.02,1.06,3.87,-1.95,1.01,1.0624970588194587
1284,-0.08,-0.02,1.07,2.74,-2.07,1.1,1.0731728658515365
1285,-0.09,-0.02,1.07,1.55,-2.32,0.64,1.0739646176667088
1286,-0.08,-0.02,1.08,0.21,-3.41,0.52,1.0831435731240804
1287,-0.08,-0.02,1.08,-1.22,-3.69,0.79,1.0831435731240804
1288,-0.09,-0.02,1.08,-2.32,-4.54,0.55,1.0839280418920807
1289,-0.09,-0.02,1.09,-3.81,-4.79,0.18,1.0938921336219583
1290,-0.08,-0.02,1.09,-4.51,-5.43,-0.46,1.0931148155614763
1291,-0.08,-0.02,1.09,-5.18,-6.16,-0.88,1.0931148155614763
1292,-0.09,-0.03,1.09,-5.7,-6.16,-1.13,1.0941206514822759
1293,-0.09,-0.03,1.09,-5.88,-6.89,-1.59,1.0941206514822759
1294,-0.09,-0.03,1.08,-5.58,-7.59,-2.1,1.084158659975559
1295,-0.08,-0.02,1.09,-5.15,-7.93,-2.1,1.0931148155614763
1296,-0.08,-0.04,1.09,-4.21,-8.2,-1.98,1.0936635680134912
1297,-0.07,-0.04,1.09,-3.2,-8.29,-2.01,1.092977584399607
1298,-0.07,-0.04,1.08,-1.65,-7.68,-1.68,1.0830050784737808
1299,-0.07,-0.03,1.09,-0.12,-7.13,-0.7,1.092657311328671
1300,-0.07,-0.03,1.07,1.65,-5.91,0.03,1.072706856508338
1301,-0.07,-0.03,1.07,3.26,-5.55,0.82,1.072706856508338
1302,-0.07,-0.03,1.07,4.82,-5.03,1.34,1.072706856508338
1303,-0.07,-0.03,1.07,6.86,-5.3,1.65,1.072706856508338
1304,-0.07,-0.04,1.07,8.87,-4.18,2.56,1.0730330842988953
1305,-0.07,-0.03,1.08,10.37,-3.45,2.99,1.0826818553942799
1306,-0.07,-0.04,1.08,12.04,-3.02,3.29,1.0830050784737808
1307,-0.07,-0.04,1.07,13.78,-2.93,3.69,1.0730330842988953
1308,-0.07,-0.04,1.07,14.51,-3.02,3.6,1.0730330842988953
1309,-0.08,-0.03,1.07,15.37,-3.08,3.45,1.0734057946554976
1310,-0.08,-0.01,1.07,15.12,-3.35,3.2,1.0730330842988953
1311,-0.08,-0.0,1.07,14.3,-4.12,3.11,1.0729864864013898
1312,-0.08,0.0,1.06,13.11,-4.42,2.59,1.063014581273465
1313,-0.07,0.01,1.06,11.55,-5.0,2.41,1.0623558725775464
1314,-0.07,0.01,1.06,9.18,-5.73,1.92,1.0623558725775464
1315,-0.06,0.01,1.05,7.53,-5.55,1.95,1.0517604289951206
1316,-0.06,0.02,1.05,5.15,-5.52,1.28,1.0519030373565808
