,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,acc
240,0.54,0.27,0.85,15.46,-4.21,-2.93,1.0425929215182692
241,0.51,0.27,0.9,18.93,-3.66,0.34,1.0691117808723276
242,0.47,0.26,0.94,21.77,-6.4,4.27,1.082635672791175
243,0.47,0.25,0.97,25.43,-9.09,8.66,1.106480908104609
244,0.46,0.25,0.99,28.66,-12.53,12.2,1.1199107107265294
245,0.46,0.25,1.0,31.28,-15.98,15.67,1.1287603820120549
246,0.46,0.25,1.0,33.72,-19.54,18.66,1.1287603820120549
247,0.49,0.25,1.01,35.4,-22.56,20.06,1.1500869532344065
248,0.5,0.24,1.0,35.79,-25.55,20.52,1.1435033887138244
249,0.5,0.25,1.0,35.09,-29.48,19.88,1.14564392373896
250,0.51,0.26,0.99,33.17,-32.84,17.71,1.1435908359199105
251,0.52,0.28,0.97,29.54,-37.9,14.85,1.135649593844862
252,0.53,0.27,0.96,26.52,-42.5,11.86,1.12933608815091
253,0.54,0.29,0.93,22.59,-45.67,8.14,1.113822247937255
254,0.56,0.31,0.91,17.68,-48.57,3.08,1.112564604865713
255,0.59,0.32,0.87,14.3,-51.04,-0.21,1.0988175462741756
256,0.61,0.32,0.83,11.28,-51.22,-2.74,1.0786102168995062
257,0.64,0.35,0.81,6.13,-48.93,-5.3,1.0900458705944445
258,0.67,0.35,0.78,2.07,-45.0,-6.22,1.0861859877571614
259,0.69,0.34,0.76,-0.76,-40.3,-7.04,1.0813417591122614
260,0.71,0.34,0.74,-3.2,-34.73,-6.34,1.0804165863221464
261,0.72,0.33,0.74,-4.45,-28.23,-6.1,1.0839280418920807
262,0.72,0.33,0.74,-5.03,-21.77,-5.03,1.0839280418920807
263,0.71,0.33,0.75,-5.21,-15.61,-3.66,1.0842047777057617
264,0.68,0.33,0.78,-5.03,-10.46,-1.95,1.0861399541495562
265,0.65,0.32,0.8,-4.12,-7.16,0.43,1.079305332146562
266,0.64,0.32,0.81,-3.14,-4.6,2.41,1.0807867504739315
267,0.62,0.32,0.83,-1.55,-3.14,4.02,1.0842970072816764
268,0.6,0.31,0.86,0.82,-2.8,5.73,1.0934806811279292
269,0.58,0.31,0.87,2.59,-3.32,7.56,1.090596167240652
270,0.58,0.3,0.88,5.15,-4.36,9.15,1.095810202544218
271,0.58,0.28,0.89,7.59,-5.52,9.45,1.0985900054160334
272,0.59,0.26,0.91,10.18,-7.23,10.03,1.1152578177264663
273,0.59,0.25,0.92,13.02,-8.78,8.69,1.121160113453917
274,0.58,0.25,0.93,15.15,-10.64,8.45,1.1241885962773328
275,0.57,0.25,0.94,16.71,-13.84,7.62,1.1273863579093015
276,0.58,0.26,0.92,17.29,-16.71,6.86,1.118212859879549
277,0.58,0.26,0.93,17.23,-19.54,5.15,1.1264546151532249
278,0.59,0.27,0.92,16.86,-22.38,3.23,1.1257886124845997
279,0.59,0.28,0.91,16.07,-24.73,1.89,1.120089282155668
280,0.59,0.3,0.9,14.97,-27.07,-0.3,1.1171839597846005
281,0.59,0.32,0.9,11.92,-29.94,-1.28,1.1227199116431488
282,0.6,0.32,0.89,10.06,-31.28,-2.74,1.120044641967453
283,0.6,0.33,0.87,7.9,-32.5,-3.99,1.107158525234756
284,0.61,0.34,0.84,5.91,-32.96,-5.52,1.0923827168167757
285,0.63,0.36,0.81,3.99,-31.92,-6.37,1.0874741376235115
286,0.66,0.37,0.79,1.37,-28.6,-6.62,1.0938921336219583
287,0.67,0.38,0.78,-1.01,-25.27,-6.77,1.0962207806824318
288,0.68,0.39,0.76,-2.53,-20.3,-7.13,1.091833320612629
289,0.69,0.39,0.76,-4.42,-15.4,-6.65,1.0980892495603443
290,0.69,0.39,0.76,-5.21,-10.3,-6.59,1.0980892495603443
291,0.67,0.39,0.77,-5.91,-5.46,-5.91,1.092657311328671
292,0.64,0.41,0.78,-5.91,-1.22,-4.42,1.0890821823902914
293,0.62,0.42,0.78,-5.4,1.4,-2.71,1.0812955192730616
294,0.59,0.43,0.81,-5.46,2.47,-0.12,1.0904586191139947
295,0.57,0.43,0.82,-5.21,3.32,2.38,1.0872902096496593
296,0.56,0.41,0.82,-4.05,3.05,4.63,1.074290463515338
297,0.55,0.38,0.85,-0.67,2.62,6.28,1.081387996974259
298,0.55,0.36,0.87,2.59,1.65,6.25,1.0904127658827183
299,0.54,0.35,0.9,5.73,-0.52,5.76,1.1063905277974861
300,0.53,0.34,0.92,8.75,-3.9,5.0,1.114854250563723
301,0.52,0.33,0.92,11.4,-7.1,4.18,1.107113363662457
302,0.53,0.33,0.92,13.75,-10.52,3.08,1.1118453129819814
303,0.52,0.36,0.9,14.21,-13.99,1.92,1.1
304,0.52,0.37,0.9,13.6,-17.41,0.95,1.103313192162588
305,0.53,0.38,0.88,12.23,-21.22,-0.58,1.0953081758117211
306,0.54,0.39,0.87,9.88,-24.45,-2.23,1.0957189420649804
307,0.53,0.4,0.86,7.68,-26.83,-3.35,1.0865081684000355
308,0.55,0.39,0.86,5.3,-29.24,-4.48,1.0927945827098522
309,0.57,0.38,0.83,3.75,-30.34,-5.49,1.0761970079869205
310,0.58,0.37,0.8,2.77,-30.52,-6.74,1.0551303237041385
311,0.6,0.37,0.78,2.01,-29.39,-8.11,1.0513324878457815
312,0.61,0.38,0.75,0.91,-27.71,-8.48,1.0387492478938312
313,0.65,0.37,0.74,0.06,-23.81,-8.05,1.0521406750050109
314,0.67,0.38,0.72,-0.64,-18.69,-6.86,1.054371850914088
315,0.68,0.36,0.7,-1.07,-13.32,-5.67,1.0401922899156675
316,0.68,0.35,0.7,-0.55,-7.71,-4.12,1.0367738422626218
317,0.68,0.34,0.71,0.3,-2.74,-2.8,1.040240356840668
318,0.67,0.34,0.71,1.07,2.41,-2.35,1.0337311062360464
319,0.67,0.33,0.73,2.59,6.46,-1.68,1.0443658362853507
